IUCN,SPEC,COU,Value
TOT_KNOWN,MAMMAL,AUS,402
ENDANGERED,MAMMAL,AUS,37
CRITICAL,MAMMAL,AUS,5
VULNERABLE,MAMMAL,AUS,67
THREATENED,MAMMAL,AUS,109
TOT_KNOWN,MAMMAL,AUT,101
TOT_KNOWN_IND,MAMMAL,AUT,101
ENDANGERED,MAMMAL,AUT,6
CRITICAL,MAMMAL,AUT,4
VULNERABLE,MAMMAL,AUT,17
THREATENED,MAMMAL,AUT,27
ENDANGERED_IND,MAMMAL,AUT,6
CRITICAL_IND,MAMMAL,AUT,4
VULNERABLE_IND,MAMMAL,AUT,17
TOT_KNOWN,MAMMAL,BEL,84
TOT_KNOWN_IND,MAMMAL,BEL,65
ENDANGERED,MAMMAL,BEL,2
CRITICAL,MAMMAL,BEL,4
VULNERABLE,MAMMAL,BEL,12
THREATENED,MAMMAL,BEL,18
ENDANGERED_IND,MAMMAL,BEL,2
CRITICAL_IND,MAMMAL,BEL,4
VULNERABLE_IND,MAMMAL,BEL,12
TOT_KNOWN,MAMMAL,CAN,221
TOT_KNOWN_IND,MAMMAL,CAN,209
ENDANGERED,MAMMAL,CAN,10
VULNERABLE,MAMMAL,CAN,31
THREATENED,MAMMAL,CAN,52
ENDANGERED_IND,MAMMAL,CAN,10
VULNERABLE_IND,MAMMAL,CAN,31
TOT_KNOWN,MAMMAL,CZE,91
TOT_KNOWN_IND,MAMMAL,CZE,77
ENDANGERED,MAMMAL,CZE,1
CRITICAL,MAMMAL,CZE,10
VULNERABLE,MAMMAL,CZE,4
THREATENED,MAMMAL,CZE,15
TOT_KNOWN,MAMMAL,DNK,67
TOT_KNOWN_IND,MAMMAL,DNK,58
ENDANGERED,MAMMAL,DNK,1
VULNERABLE,MAMMAL,DNK,10
THREATENED,MAMMAL,DNK,11
ENDANGERED_IND,MAMMAL,DNK,1
VULNERABLE_IND,MAMMAL,DNK,10
TOT_KNOWN,MAMMAL,FIN,75
TOT_KNOWN_IND,MAMMAL,FIN,67
ENDANGERED,MAMMAL,FIN,4
CRITICAL,MAMMAL,FIN,1
VULNERABLE,MAMMAL,FIN,2
THREATENED,MAMMAL,FIN,7
ENDANGERED_IND,MAMMAL,FIN,4
CRITICAL_IND,MAMMAL,FIN,1
VULNERABLE_IND,MAMMAL,FIN,2
TOT_KNOWN,MAMMAL,FRA,125
ENDANGERED,MAMMAL,FRA,4
CRITICAL,MAMMAL,FRA,3
VULNERABLE,MAMMAL,FRA,10
THREATENED,MAMMAL,FRA,17
TOT_KNOWN,MAMMAL,DEU,93
TOT_KNOWN_IND,MAMMAL,DEU,85
ENDANGERED,MAMMAL,DEU,9
CRITICAL,MAMMAL,DEU,8
VULNERABLE,MAMMAL,DEU,15
THREATENED,MAMMAL,DEU,32
ENDANGERED_IND,MAMMAL,DEU,9
CRITICAL_IND,MAMMAL,DEU,8
VULNERABLE_IND,MAMMAL,DEU,15
TOT_KNOWN,MAMMAL,GRC,115
TOT_KNOWN_IND,MAMMAL,GRC,113
ENDANGERED,MAMMAL,GRC,13
CRITICAL,MAMMAL,GRC,3
VULNERABLE,MAMMAL,GRC,13
THREATENED,MAMMAL,GRC,29
ENDANGERED_IND,MAMMAL,GRC,13
CRITICAL_IND,MAMMAL,GRC,3
VULNERABLE_IND,MAMMAL,GRC,13
TOT_KNOWN,MAMMAL,HUN,87
TOT_KNOWN_IND,MAMMAL,HUN,76
ENDANGERED,MAMMAL,HUN,3
CRITICAL,MAMMAL,HUN,5
VULNERABLE,MAMMAL,HUN,6
THREATENED,MAMMAL,HUN,14
ENDANGERED_IND,MAMMAL,HUN,3
CRITICAL_IND,MAMMAL,HUN,5
VULNERABLE_IND,MAMMAL,HUN,6
TOT_KNOWN,MAMMAL,ISL,4
TOT_KNOWN,MAMMAL,IRL,57
TOT_KNOWN_IND,MAMMAL,IRL,46
VULNERABLE,MAMMAL,IRL,1
THREATENED,MAMMAL,IRL,1
TOT_KNOWN,MAMMAL,ITA,126
ENDANGERED,MAMMAL,ITA,8
CRITICAL,MAMMAL,ITA,2
VULNERABLE,MAMMAL,ITA,13
THREATENED,MAMMAL,ITA,23
TOT_KNOWN,MAMMAL,JPN,160
ENDANGERED,MAMMAL,JPN,12
CRITICAL,MAMMAL,JPN,12
VULNERABLE,MAMMAL,JPN,9
THREATENED,MAMMAL,JPN,33
TOT_KNOWN,MAMMAL,KOR,125
ENDANGERED,MAMMAL,KOR,4
CRITICAL,MAMMAL,KOR,1
VULNERABLE,MAMMAL,KOR,9
THREATENED,MAMMAL,KOR,14
TOT_KNOWN,MAMMAL,MEX,564
TOT_KNOWN_IND,MAMMAL,MEX,162
ENDANGERED,MAMMAL,MEX,50
CRITICAL,MAMMAL,MEX,11
VULNERABLE,MAMMAL,MEX,90
THREATENED,MAMMAL,MEX,151
ENDANGERED_IND,MAMMAL,MEX,24
CRITICAL_IND,MAMMAL,MEX,8
VULNERABLE_IND,MAMMAL,MEX,52
TOT_KNOWN,MAMMAL,NLD,53
ENDANGERED,MAMMAL,NLD,3
CRITICAL,MAMMAL,NLD,2
VULNERABLE,MAMMAL,NLD,6
THREATENED,MAMMAL,NLD,11
TOT_KNOWN,MAMMAL,NZL,65
TOT_KNOWN_IND,MAMMAL,NZL,37
ENDANGERED_IND,MAMMAL,NZL,2
CRITICAL_IND,MAMMAL,NZL,6
VULNERABLE_IND,MAMMAL,NZL,2
TOT_KNOWN,MAMMAL,NOR,89
TOT_KNOWN_IND,MAMMAL,NOR,73
ENDANGERED,MAMMAL,NOR,5
CRITICAL,MAMMAL,NOR,5
VULNERABLE,MAMMAL,NOR,7
THREATENED,MAMMAL,NOR,17
ENDANGERED_IND,MAMMAL,NOR,5
CRITICAL_IND,MAMMAL,NOR,5
VULNERABLE_IND,MAMMAL,NOR,7
TOT_KNOWN,MAMMAL,POL,112
TOT_KNOWN_IND,MAMMAL,POL,100
ENDANGERED,MAMMAL,POL,10
CRITICAL,MAMMAL,POL,2
VULNERABLE,MAMMAL,POL,1
THREATENED,MAMMAL,POL,13
ENDANGERED_IND,MAMMAL,POL,10
CRITICAL_IND,MAMMAL,POL,2
VULNERABLE_IND,MAMMAL,POL,1
TOT_KNOWN,MAMMAL,PRT,158
TOT_KNOWN_IND,MAMMAL,PRT,108
ENDANGERED,MAMMAL,PRT,7
CRITICAL,MAMMAL,PRT,11
VULNERABLE,MAMMAL,PRT,13
THREATENED,MAMMAL,PRT,31
ENDANGERED_IND,MAMMAL,PRT,7
CRITICAL_IND,MAMMAL,PRT,11
VULNERABLE_IND,MAMMAL,PRT,13
TOT_KNOWN,MAMMAL,SVK,90
TOT_KNOWN_IND,MAMMAL,SVK,85
ENDANGERED,MAMMAL,SVK,6
CRITICAL,MAMMAL,SVK,2
VULNERABLE,MAMMAL,SVK,12
THREATENED,MAMMAL,SVK,20
ENDANGERED_IND,MAMMAL,SVK,6
CRITICAL_IND,MAMMAL,SVK,2
VULNERABLE_IND,MAMMAL,SVK,12
TOT_KNOWN,MAMMAL,ESP,114
ENDANGERED,MAMMAL,ESP,4
CRITICAL,MAMMAL,ESP,2
VULNERABLE,MAMMAL,ESP,13
THREATENED,MAMMAL,ESP,19
ENDANGERED_IND,MAMMAL,ESP,4
CRITICAL_IND,MAMMAL,ESP,2
VULNERABLE_IND,MAMMAL,ESP,13
TOT_KNOWN,MAMMAL,SWE,65
TOT_KNOWN_IND,MAMMAL,SWE,65
ENDANGERED,MAMMAL,SWE,3
CRITICAL,MAMMAL,SWE,5
VULNERABLE,MAMMAL,SWE,6
THREATENED,MAMMAL,SWE,14
ENDANGERED_IND,MAMMAL,SWE,3
CRITICAL_IND,MAMMAL,SWE,5
VULNERABLE_IND,MAMMAL,SWE,6
