alpha3,SPEC,IUCN,Value
AUS,MAMMAL,TOT_KNOWN,402
AUS,MAMMAL,ENDANGERED,37
AUS,MAMMAL,CRITICAL,5
AUS,MAMMAL,VULNERABLE,67
AUS,MAMMAL,THREATENED,109
AUT,MAMMAL,TOT_KNOWN,101
AUT,MAMMAL,TOT_KNOWN_IND,101
AUT,MAMMAL,ENDANGERED,6
AUT,MAMMAL,CRITICAL,4
AUT,MAMMAL,VULNERABLE,17
AUT,MAMMAL,THREATENED,27
AUT,MAMMAL,ENDANGERED_IND,6
AUT,MAMMAL,CRITICAL_IND,4
AUT,MAMMAL,VULNERABLE_IND,17
BEL,MAMMAL,TOT_KNOWN,84
BEL,MAMMAL,TOT_KNOWN_IND,65
BEL,MAMMAL,ENDANGERED,2
BEL,MAMMAL,CRITICAL,4
BEL,MAMMAL,VULNERABLE,12
BEL,MAMMAL,THREATENED,18
BEL,MAMMAL,ENDANGERED_IND,2
BEL,MAMMAL,CRITICAL_IND,4
BEL,MAMMAL,VULNERABLE_IND,12
CAN,MAMMAL,TOT_KNOWN,221
CAN,MAMMAL,TOT_KNOWN_IND,209
CAN,MAMMAL,ENDANGERED,10
CAN,MAMMAL,VULNERABLE,31
CAN,MAMMAL,THREATENED,52
CAN,MAMMAL,ENDANGERED_IND,10
CAN,MAMMAL,VULNERABLE_IND,31
CZE,MAMMAL,TOT_KNOWN,91
CZE,MAMMAL,TOT_KNOWN_IND,77
CZE,MAMMAL,ENDANGERED,1
CZE,MAMMAL,CRITICAL,10
CZE,MAMMAL,VULNERABLE,4
CZE,MAMMAL,THREATENED,15
DNK,MAMMAL,TOT_KNOWN,67
DNK,MAMMAL,TOT_KNOWN_IND,58
DNK,MAMMAL,ENDANGERED,1
DNK,MAMMAL,VULNERABLE,10
DNK,MAMMAL,THREATENED,11
DNK,MAMMAL,ENDANGERED_IND,1
DNK,MAMMAL,VULNERABLE_IND,10
FIN,MAMMAL,TOT_KNOWN,75
FIN,MAMMAL,TOT_KNOWN_IND,67
FIN,MAMMAL,ENDANGERED,4
FIN,MAMMAL,CRITICAL,1
FIN,MAMMAL,VULNERABLE,2
FIN,MAMMAL,THREATENED,7
FIN,MAMMAL,ENDANGERED_IND,4
FIN,MAMMAL,CRITICAL_IND,1
FIN,MAMMAL,VULNERABLE_IND,2
FRA,MAMMAL,TOT_KNOWN,125
FRA,MAMMAL,ENDANGERED,4
FRA,MAMMAL,CRITICAL,3
FRA,MAMMAL,VULNERABLE,10
FRA,MAMMAL,THREATENED,17
DEU,MAMMAL,TOT_KNOWN,93
DEU,MAMMAL,TOT_KNOWN_IND,85
DEU,MAMMAL,ENDANGERED,9
DEU,MAMMAL,CRITICAL,8
DEU,MAMMAL,VULNERABLE,15
DEU,MAMMAL,THREATENED,32
DEU,MAMMAL,ENDANGERED_IND,9
DEU,MAMMAL,CRITICAL_IND,8
DEU,MAMMAL,VULNERABLE_IND,15
GRC,MAMMAL,TOT_KNOWN,115
GRC,MAMMAL,TOT_KNOWN_IND,113
GRC,MAMMAL,ENDANGERED,13
GRC,MAMMAL,CRITICAL,3
GRC,MAMMAL,VULNERABLE,13
GRC,MAMMAL,THREATENED,29
GRC,MAMMAL,ENDANGERED_IND,13
GRC,MAMMAL,CRITICAL_IND,3
GRC,MAMMAL,VULNERABLE_IND,13
HUN,MAMMAL,TOT_KNOWN,87
HUN,MAMMAL,TOT_KNOWN_IND,76
HUN,MAMMAL,ENDANGERED,3
HUN,MAMMAL,CRITICAL,5
HUN,MAMMAL,VULNERABLE,6
HUN,MAMMAL,THREATENED,14
HUN,MAMMAL,ENDANGERED_IND,3
HUN,MAMMAL,CRITICAL_IND,5
HUN,MAMMAL,VULNERABLE_IND,6
ISL,MAMMAL,TOT_KNOWN,4
IRL,MAMMAL,TOT_KNOWN,57
