LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,THREATENED,BIRD,PC_SPECIES,A,2015,16.835,
AUS,THREATENED,MAMMAL,PC_SPECIES,A,2015,27.114,
AUS,THREATENED,PLANT,PC_SPECIES,A,2015,6.58,
AUT,THREATENED,BIRD,PC_SPECIES,A,2015,27.273,
AUT,THREATENED,MAMMAL,PC_SPECIES,A,2015,26.733,
AUT,THREATENED,PLANT,PC_SPECIES,A,2015,33.39,
BEL,THREATENED,BIRD,PC_SPECIES,A,2015,27.778,
BEL,THREATENED,MAMMAL,PC_SPECIES,A,2015,21.429,
BEL,THREATENED,PLANT,PC_SPECIES,A,2015,23.267,
CAN,THREATENED,BIRD,PC_SPECIES,A,2015,13.056,
CAN,THREATENED,MAMMAL,PC_SPECIES,A,2015,23.529,
CAN,THREATENED,PLANT,PC_SPECIES,A,2015,21.35,
CZE,THREATENED,BIRD,PC_SPECIES,A,2015,47.143,
CZE,THREATENED,MAMMAL,PC_SPECIES,A,2015,16.484,
CZE,THREATENED,PLANT,PC_SPECIES,A,2015,25.527,
DNK,THREATENED,BIRD,PC_SPECIES,A,2015,16.268,
DNK,THREATENED,MAMMAL,PC_SPECIES,A,2015,16.418,
DNK,THREATENED,PLANT,PC_SPECIES,A,2015,4.022,
FIN,THREATENED,BIRD,PC_SPECIES,A,2015,35.081,
FIN,THREATENED,MAMMAL,PC_SPECIES,A,2015,9.333,
FIN,THREATENED,PLANT,PC_SPECIES,A,2015,15.887,
FRA,THREATENED,BIRD,PC_SPECIES,A,2015,27.366,
FRA,THREATENED,MAMMAL,PC_SPECIES,A,2015,13.6,
FRA,THREATENED,PLANT,PC_SPECIES,A,2015,51.866,
DEU,THREATENED,BIRD,PC_SPECIES,A,2015,35.606,
DEU,THREATENED,MAMMAL,PC_SPECIES,A,2015,34.409,
DEU,THREATENED,PLANT,PC_SPECIES,A,2015,27.384,
GRC,THREATENED,BIRD,PC_SPECIES,A,2015,14.091,
GRC,THREATENED,MAMMAL,PC_SPECIES,A,2015,25.217,
GRC,THREATENED,PLANT,PC_SPECIES,A,2015,4.359,
HUN,THREATENED,BIRD,PC_SPECIES,A,2015,17.931,
HUN,THREATENED,MAMMAL,PC_SPECIES,A,2015,16.092,
HUN,THREATENED,PLANT,PC_SPECIES,A,2015,14.039,
ISL,THREATENED,BIRD,PC_SPECIES,A,2015,44,
ISL,THREATENED,PLANT,PC_SPECIES,A,2015,11.872,
IRL,THREATENED,BIRD,PC_SPECIES,A,2015,26.569,
IRL,THREATENED,MAMMAL,PC_SPECIES,A,2015,1.754,
IRL,THREATENED,PLANT,PC_SPECIES,A,2015,9.619,
ITA,THREATENED,BIRD,PC_SPECIES,A,2015,27.715,
ITA,THREATENED,MAMMAL,PC_SPECIES,A,2015,18.254,
ITA,THREATENED,PLANT,PC_SPECIES,A,2015,6.748,
JPN,THREATENED,BIRD,PC_SPECIES,A,2015,13.857,
JPN,THREATENED,MAMMAL,PC_SPECIES,A,2015,20.625,
JPN,THREATENED,PLANT,PC_SPECIES,A,2015,25.514,
